,Unnamed: 0,Molecular Weight,Heavy Atom Molecular Weight,Max Absolute Partial Charge,Max Partial Charge,Min Abs Partial Charge,Min Partial Charge,Radical Electrons,Valence Electrons,NHOH Count,NO Count,H Acceptors,H Donors,Ring Count,Aliphatic Rings,Aromatic Rings,Saturated Rings,Aromatic Carbocycles,Aromatic Heterocycles,Heteroatoms,Rotatable Bonds,Saturated Carbocycles,Saturated Heterocycles,H Count,C Count,N Count,F Count,Halogen Count,Double Bonds,Triple Bonds
0,Lithium benzoate,128.05599999999995,123.01599999999998,1.0,1.0,0.5448151187546493,-0.5448151187546493,0,46,0,2,2,0,1,0,1,0,1,0,3,1,0,0,5,7,0,0,0,1,0
1,DBN,124.18700000000001,112.091,0.36029323269982594,0.09891000728610157,0.09891000728610157,-0.36029323269982594,0,50,0,2,2,0,2,2,0,1,0,0,2,0,0,1,12,7,2,0,0,1,0
2,ZnC6F52,399.5019999999999,399.5019999999999,2.0,2.0,0.27818501903062537,-0.27818501903062537,0,120,0,0,0,0,2,0,2,0,2,0,11,0,0,0,0,12,0,10,10,0,0
3,BF3,67.80600000000001,67.80600000000001,0.7620277074610924,0.7620277074610924,0.25400923582036405,-0.25400923582036405,0,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0
4,Acridine Orange,265.36,246.20799999999994,0.37759801298708495,0.0729872509497705,0.0729872509497705,-0.37759801298708495,0,102,0,3,3,0,3,0,3,0,2,1,3,2,0,0,19,17,3,0,0,0,0
5,TBAF,279.4839999999999,241.17999999999995,1.0,0.07860281371626412,0.07860281371626412,-1.0,0,120,2,2,0,0,0,0,0,0,0,0,3,12,0,0,38,16,1,1,1,0,0
6,Pyronin B,360.92900000000003,331.697,0.45661479909268615,0.13254022141785432,0.13254022141785432,-0.45661479909268615,0,136,0,3,3,0,3,1,2,0,2,0,4,6,0,0,29,21,2,0,1,0,0
7,NDI-N,436.5120000000003,408.2880000000002,0.3093319832741065,0.2608867499684129,0.2608867499684129,-0.3093319832741065,0,168,0,8,6,0,4,2,2,0,2,0,8,8,0,0,28,24,4,0,0,4,0
8,DQ,184.24200000000002,172.146,0.34450724226044926,0.06474593666293862,0.06474593666293862,-0.34450724226044926,0,70,0,2,2,0,3,3,0,0,0,0,2,0,0,0,12,12,2,0,0,5,0
9,BV,338.454,316.2780000000001,0.34986560947656786,0.04696868613198756,0.04696868613198756,-0.34986560947656786,0,128,0,2,2,0,4,2,2,0,2,0,2,4,0,0,22,24,2,0,0,5,0
10,BTQBT,396.59400000000005,392.56200000000007,0.17212486211806932,0.11625508780809327,0.11625508780809327,-0.17212486211806932,0,108,0,4,10,0,5,2,3,0,1,2,10,0,0,0,4,12,4,0,0,4,0
11,BCF,511.98,511.98,0.2645655342792412,0.2645655342792412,0.2040986647071263,-0.2040986647071263,0,180,0,0,0,0,3,0,3,0,3,0,16,3,0,0,0,18,0,15,15,0,0
12,p-Me-DMBI,240.35,220.18999999999997,0.386446652414174,0.060183449271014273,0.060183449271014273,-0.386446652414174,0,94,1,2,2,1,2,0,2,0,2,0,2,4,0,0,20,16,2,0,0,0,0
13,p-Me-DMBI-Me2,266.38800000000003,244.21199999999993,0.34879717417476264,0.12757652299172567,0.12757652299172567,-0.34879717417476264,0,104,0,2,2,0,3,1,2,0,2,0,2,1,0,0,22,18,2,0,0,0,0
14,o-MeO-DMBI,254.33299999999997,236.18899999999996,0.49631958445526925,0.13120806574725158,0.13120806574725158,-0.49631958445526925,0,98,0,3,3,0,3,1,2,0,2,0,3,2,0,0,18,16,2,0,0,0,0
15,TTN,240.35,220.18999999999997,0.386446652414174,0.060183449271014273,0.060183449271014273,-0.386446652414174,0,94,1,2,2,1,2,0,2,0,2,0,2,4,0,0,20,16,2,0,0,0,0
16,TDAE,202.34599999999998,176.13799999999998,0.29162370405844973,0.0910576207314122,0.0910576207314122,-0.29162370405844973,0,86,0,4,4,0,0,0,0,0,0,0,4,5,0,0,26,10,4,0,0,0,0
17,TBD,139.202,126.09799999999998,0.35616892702518477,0.1934248979278783,0.1934248979278783,-0.35616892702518477,0,56,1,3,3,1,2,2,0,1,0,0,3,0,0,1,13,7,3,0,0,1,0
18,TAM,181.28299999999996,162.13099999999997,0.2753689176668219,0.11913408538670324,0.11913408538670324,-0.2753689176668219,0,74,0,3,3,0,3,3,0,3,0,0,3,0,0,3,19,10,3,0,0,0,0
19,N-DMBI-Me2,295.43000000000006,270.22999999999996,0.3776611797090705,0.12757872715400154,0.12757872715400154,-0.3776611797090705,0,116,0,3,3,0,3,1,2,0,2,0,3,2,0,0,25,19,3,0,0,0,0
20,F6-TCNNQ,364.20799999999997,362.19199999999995,0.20569032018387884,0.1697955046133028,0.1697955046133028,-0.20569032018387884,0,128,0,4,4,0,2,0,2,0,2,0,10,2,0,0,2,16,4,6,6,0,4
21,F2-HCNQ,292.208,290.192,0.20508394305225874,0.162015411846245,0.162015411846245,-0.20508394305225874,0,102,0,6,6,0,1,0,1,0,1,0,8,2,0,0,2,14,6,2,2,0,6
22,DPDHP,353.4650000000001,330.2810000000001,0.496768209630608,0.11837885431688729,0.11837885431688729,-0.496768209630608,0,134,0,2,2,0,4,1,3,0,3,0,2,4,0,0,23,25,1,0,0,2,0
23,DMBI-Me2,252.36100000000002,232.20099999999994,0.3487971763145424,0.1275761951314756,0.1275761951314756,-0.3487971763145424,0,98,0,2,2,0,3,1,2,0,2,0,2,1,0,0,20,17,2,0,0,0,0
24,DBU,152.24099999999999,136.113,0.36030804232987956,0.09884183249054182,0.09884183249054182,-0.36030804232987956,0,62,0,2,2,0,2,2,0,1,0,0,2,0,0,1,16,9,2,0,0,1,0
25,AQ,310.262,303.206,1.0,1.0,0.7440354926660419,-0.7440354926660419,0,100,0,5,5,0,3,1,2,0,2,0,7,1,0,0,7,14,0,0,0,4,0
26,F4-TCNQ,276.152,276.152,0.20287598604677018,0.17148610219991323,0.17148610219991323,-0.20287598604677018,0,96,0,4,4,0,1,0,1,0,1,0,8,0,0,0,0,12,4,4,4,2,4
27,TCNQ,204.19199999999998,200.15999999999997,0.19162082666605199,0.13637802758074666,0.13637802758074666,-0.19162082666605199,0,72,0,4,4,0,1,0,1,0,1,0,4,0,0,0,4,12,4,0,0,2,4
28,BEDT-TTF,380.678,376.6460000000001,0.08839684697583543,0.07176096027752603,0.07176096027752603,-0.08839684697583543,0,92,0,0,8,0,4,4,0,0,0,0,8,0,0,0,4,10,0,0,0,5,0
29,Crystal Violet,407.98900000000003,377.74900000000014,1.0,0.19895934181831174,0.19895934181831174,-1.0,0,152,0,3,2,0,3,1,2,0,2,0,4,4,0,0,30,25,3,0,1,4,0
30,CN6-CP,228.17399999999998,228.17399999999998,0.19162003434183372,0.13777085119902963,0.13777085119902963,-0.19162003434183372,0,78,0,6,6,0,1,1,0,1,0,0,6,0,1,0,0,12,6,0,0,3,6
31,TMCN3-CP,279.255,270.18299999999994,0.2936825241807822,0.17045996242728467,0.17045996242728467,-0.2936825241807822,0,102,0,6,6,0,1,1,0,1,0,0,6,3,1,0,9,15,3,0,0,6,3
32,DMimC,139.134,132.07799999999997,0.5512518280598057,0.2001314189515678,0.2001314189515678,-0.5512518280598057,0,54,0,4,3,0,1,0,1,0,0,1,4,1,0,0,7,6,2,0,0,1,0
33,o-MeO-DMBI-Cl,310.262,303.206,1.0,1.0,0.7440354926660419,-0.7440354926660419,0,100,0,5,5,0,3,1,2,0,2,0,7,1,0,0,7,14,0,0,0,4,0
34,DCM,449.9580000000001,423.7500000000001,1.0,0.33581655088101603,0.33581655088101603,-1.0,0,166,1,5,4,1,4,2,2,0,2,0,6,6,0,0,26,26,2,0,1,2,0
